audio_file,text,duration
output\verses\genesis\genesis_1_verse_20.wav,"Kɛkɛ ni Nyɔŋmɔ fã akɛ, “Nu lɛ awo loi nyɛŋɛnyɛŋɛ, ni loofɔji afliki yɛ ŋwɛi kɔɔyɔɔ lɛ mli!”",8.59
output\verses\genesis\genesis_1_verse_21.wav,"No hewɔ lɛ, Nyɔŋmɔ bɔ ŋshɔŋ loi wuji lɛ kɛ nɔ fɛɛ nɔ ni hiɛ kã ni tsiɔ ehe ni nu lɛ ewo nyɛŋɛnyɛŋɛ lɛ. Asaŋ ebɔ loofɔji fɛɛ yɛ amɛhenɔ. Nyɔŋmɔ na akɛ ehi.",15.59
output\verses\genesis\genesis_1_verse_22.wav,"Kɛkɛ ni Nyɔŋmɔ jɔɔ amɛ, ni ekɛɛ, “Nyɛfɔa koni nyɛyi afaa ni nyɛyimɔa fai kɛ ŋshɔ mli obɔ̃bɔ̃, ni loofɔji afa yɛ shikpɔŋ lɛ nɔ!”",12.32
output\verses\genesis\genesis_1_verse_23.wav,"Ni je na ni je tsɛre, ni efee gbi ni ji enumɔ lɛ.",4.8
output\verses\genesis\genesis_1_verse_24.wav,"Kɛkɛ ni Nyɔŋmɔ fã akɛ, “Shikpɔŋ lɛ awo bɔɔnii ni hiɛ kã yɛ amɛhenɔ: shĩa kooloi kɛ kooloi ni wamɔɔ kɛ ŋaŋ kooloi yɛ amɛhenɔ!” Ni eba mli nakai.",14.53
output\verses\genesis\genesis_1_verse_25.wav,Nyɔŋmɔ bɔ ŋaŋ kooloi yɛ amɛhenɔ kɛ shĩaŋ kooloi yɛ amɛhenɔ kɛ nii fɛɛ ni wamɔɔ yɛ shikpɔŋ yɛ amɛhenɔ. Nyɔŋmɔ na akɛ ehi.,12.18
output\verses\genesis\genesis_1_verse_26.wav,"Kɛkɛ ni Nyɔŋmɔ kɛɛ, “Nyɛhãa wɔbɔa gbɔmɔ adesa yɛ wɔsu nɔ, tamɔ wɔhenɔ, koni eye ŋshɔŋ loi kɛ loofɔji kɛ shĩaŋ kooloi kɛ ŋaŋ kooloi fɛɛ kɛ nɔ fɛɛ nɔ ni wamɔɔ yɛ shikpɔŋ lɛ nɔ lɛ nɔ!”",17.82
output\verses\genesis\genesis_1_verse_27.wav,"No hewɔ lɛ, Nyɔŋmɔ bɔ gbɔmɔ adesa yɛ esu nɔ, Nyɔŋmɔ su lɛ nɔ ebɔ lɛ yɛ, ebɔ nuu, ni ebɔ yoo.",9.08
output\verses\genesis\genesis_1_verse_28.wav,"Kɛkɛ ni Nyɔŋmɔ jɔɔ amɛ ni ekɛɛ amɛ akɛ, “Nyɛfɔa ni nyɛyi afa. Nyɛyea ŋshɔŋ loi kɛ ŋwɛi loofɔji kɛ nɔ fɛɛ nɔ ni hiɛ kã ni tsiɔ ehe yɛ shikpɔŋ lɛ nɔ lɛ anɔ.”",14.14
output\verses\genesis\genesis_1_verse_29.wav,"Nyɔŋmɔ kɛɛ akɛ, “Naa, mikɛ tsei ni woɔ dumɔwui kɛ tsei ni woɔ yeli yibii ni wui yɔɔ mli ni yɔɔ shikpɔŋ lɛ nɔ lɛ ehã nyɛ koni nyɛye.”",11.73
output\verses\genesis\genesis_1_verse_30.wav,"“Kooloo fɛɛ kooloo ni yɔɔ shikpɔŋ lɛ nɔ kɛ kɔɔyɔŋ loofɔlɔ fɛɛ loofɔlɔ kɛ nɔ fɛɛ nɔ ni wamɔɔ yɛ shikpɔŋ lɛ nɔ ni wala mumɔ yɔɔ emli lɛ, mikɛ baa fɔ fɛɛ baa fɔ ehã lɛ koni eye!” Ni eba mli nakai.",17.33
output\verses\genesis\genesis_1_verse_31.wav,"Kɛkɛ ni Nyɔŋmɔ kwɛ nibii ni efee lɛ fɛɛ, ni naa, ehi naakpa. Ni je na ni je tsɛre; ni no fee gbi ni ji ekpaa.",11.59
output\verses\genesis\genesis_2_verse_1.wav,Nɛkɛ ji bɔ ni agbe ŋwɛi kɛ shikpɔŋ kɛ amɛsafoi lɛ fɛɛ bɔɔ naa ahã.,6.38
output\verses\genesis\genesis_2_verse_2.wav,"Be ni shɛ gbi ni ji kpawo lɛ nɔ lɛ, Nyɔŋmɔ egbe enitsumɔ ni etsu lɛ fɛɛ naa; ni ejɔɔ ehe yɛ gbi ni ji kpawo lɛ nɔ.",9.49
output\verses\genesis\genesis_2_verse_3.wav,"Nyɔŋmɔ jɔɔ gbi ni ji kpawo lɛ ni efee lɛ krɔŋkrɔŋ, ejaakɛ no nɔ ejɔɔ ehe yɛ, be ni egbe ebɔɔ nitsumɔ ni etsu lɛ fɛɛ naa lɛ.",12.12
output\verses\genesis\genesis_2_verse_4.wav,"Ŋwɛi kɛ shikpɔŋbɔɔ he saji nɛ. Be ni Nuŋtsɔ Nyɔŋmɔ bɔ je lɛ,",5.52
output\verses\genesis\genesis_2_verse_5.wav,"ŋa nɔ baa ko bɛ ni ŋa nɔ jwɛi ko nako akwɛ̃ ejaakɛ Nuŋtsɔ Nyɔŋmɔ hãko nu anɛ shikpɔŋ lɛ nɔ, ni gbɔmɔ ko bɛ ni huɔ shikpɔŋ lɛ nɔ.",10.43
output\verses\genesis\genesis_2_verse_6.wav,"Shi afua teɔ shi kɛjɛɔ shikpɔŋ lɛ nɔ ni etsɔ̃ɔ bɔ, ni eshwieɔ shikpɔŋ lɛ fɛɛ nɔ nu.",7.26
output\verses\genesis\genesis_2_verse_7.wav,"Kɛkɛ ni Nuŋtsɔ Nyɔŋmɔ kɛ shikpɔŋ sũ shɔ̃ gbɔmɔ, ni emu wala mumɔ ewo egugɔ mli, ni gbɔmɔ tsɔ bɔɔnɔ ni hiɛ kã.",9.34
output\verses\genesis\genesis_2_verse_8.wav,"Kɛkɛ ni Nuŋtsɔ Nyɔŋmɔ fee trom yɛ Eden yɛ bokãgbɛ, ni ekɛ gbɔmɔ ni eshɔ̃ lɛ to jɛi.",7.32
output\verses\genesis\genesis_2_verse_9.wav,Nuŋtsɔ Nyɔŋmɔ hã tsei fɛɛ ni kɛ akwɛ ni aaaba mɔ tsine ni amɛhi hã yeli hu kwɛ̃ kɛjɛ shikpɔŋ sũ lɛ mli. Ehã wala tso kɛ ekpakpa kɛ efɔŋlee tso hu kwɛ̃ yɛ trom lɛ teŋ.,12.8
output\verses\genesis\genesis_2_verse_10.wav,Ni faa ko hoɔ yɛ Eden mli ni hãa trom lɛ nu. Egbalaa niji ejwɛ kɛjɛɔ jɛi.,7.58
output\verses\genesis\genesis_2_verse_11.wav,"Klɛŋklɛŋ nɔ lɛ gbɛi ji Pishon. Ehoɔ kɛbɔleɔ Hawila shikpɔŋ muu lɛ fɛɛ, he ni shika yɔɔ lɛ.",8.15
output\verses\genesis\genesis_2_verse_12.wav,Nakai shikpɔŋ lɛ nɔ shika lɛ hi naakpa; ni bedola ojeŋma kɛ onike tɛ hu yɛ jɛi.,7.01
output\verses\genesis\genesis_2_verse_13.wav,Faa ni ji enyɔ lɛ gbɛi ji Gihon. Ehoɔ kɛbɔleɔ Kush shikpɔŋ lɛ fɛɛ.,6.56
output\verses\genesis\genesis_2_verse_14.wav,Faa ni ji etɛ̃ lɛ gbɛi ji Tigris. Ehoɔ yɛ Asiria bokãgbɛ. Faa ni ji ejwɛ lɛ gbɛi ji Eufrate.,9.07
output\verses\genesis\genesis_2_verse_15.wav,Kɛkɛ ni Nuŋtsɔ Nyɔŋmɔ ŋɔ gbɔmɔ lɛ ni ekɛ lɛ bato Eden trom lɛ mli koni ehu mli ni ebu he.,8.27
output\verses\genesis\genesis_2_verse_16.wav,"Nuŋtsɔ Nyɔŋmɔ kɛɛ gbɔmɔ lɛ akɛ, “Trom lɛ mli tsei lɛ fɛɛ nɔ yibii lɛ ye bɔ ni osumɔɔ;",8.02
output\verses\genesis\genesis_2_verse_17.wav,"shi ekpakpa kɛ efɔŋlee tso lɛ yibii lɛ kaaye ejaakɛ gbi nɔ ni oooye eko lɛ, gbo ooogbo!”",9.74
output\verses\genesis\genesis_2_verse_18.wav,"Kɛkɛ ni Nuŋtsɔ Nyɔŋmɔ kɛɛ akɛ, “Ehiii akɛ gbɔmɔ lɛ koome hiɔ shi, mafee hefatalɔ ko ni sa lɛ mahã lɛ.”",9.62
output\verses\genesis\genesis_2_verse_19.wav,"No hewɔ lɛ, Nuŋtsɔ Nyɔŋmɔ kɛ shikpɔŋ sũ shɔ̃ ŋa nɔ kooloi kɛ loofɔji fɛɛ; ni ekɛ amɛ ba gbɔmɔ lɛ ŋɔɔ koni ekwɛ bɔ ni eeetsɛ amɛ; ni bɔ fɛɛ bɔ ni gbɔmɔ lɛ tsɛ kooloo fɛɛ kooloo ni hiɛ kã lɛ, no nɔŋŋ tsɔ̃ egbɛi.",19.23
output\verses\genesis\genesis_2_verse_20.wav,"Gbɔmɔ lɛ wo shĩaŋ kooloi fɛɛ kɛ ŋaŋ kooloi fɛɛ kɛ loofɔji fɛɛ gbɛi; shi lɛ gbɔmɔ lɛ diɛŋtsɛ lɛ, anako hefatalɔ ko ni sa lɛ ahã lɛ.",12.61
output\verses\genesis\genesis_2_verse_21.wav,"No hewɔ lɛ, Nuŋtsɔ Nyɔŋmɔ hã wɔ ni tsii nyɔ gbɔmɔ lɛ nɔ ni ewɔ. Be ni ewɔ lɛ, Nuŋtsɔ Nyɔŋmɔ jie eŋmawu wui lɛ ekome, ni ekɛ loo tsi wui lɛ anajiaŋ.",14.11
output\verses\genesis\genesis_2_verse_22.wav,"Ni Nuŋtsɔ Nyɔŋmɔ kɛ ŋmawu wu ni ejie yɛ gbɔmɔ lɛ mli lɛ fee yoo, ni ekɛ lɛ ba gbɔmɔ lɛ ŋɔɔ.",7.33
output\verses\genesis\genesis_2_verse_23.wav,"Kɛkɛ ni gbɔmɔ lɛ kɛɛ akɛ, “Mihe nɔ nɛ! Wu ni jɛ miwui amli, kɛ loo ni jɛ miheloo mli nɛ. Mɔ nɛ lɛ aaatsɛ lɛ yoo ejaakɛ nuu mli ajie lɛ kɛjɛ.”",15.41
output\verses\genesis\genesis_2_verse_24.wav,"No hewɔ lɛ, nuu aaashi etsɛ kɛ enyɛ, ni eeekpɛtɛ eŋa he, ni amɛaatsɔ̃ gbɔmɔ kome.",8.32
output\verses\genesis\genesis_3_verse_1.wav,"Onufu ji kooloo ko ni le ŋaa fe kooloi fɛɛ ni Nuŋtsɔ Nyɔŋmɔ bɔ lɛ. Ebi yoo lɛ akɛ, “Lɛɛlɛŋ akɛ Nyɔŋmɔ kɛɛ akɛ trom lɛ mli tsei ayibii lɛ fɛɛ lɛ nyɛkaye lɛ?”",16.39
output\verses\genesis\genesis_3_verse_2.wav,"Ni yoo lɛ kɛɛ onufu lɛ akɛ, “Trom lɛ mli tsei ayibii lɛ wɔyeɔ,",6.06
output\verses\genesis\genesis_3_verse_3.wav,"shi Nyɔŋmɔ kɛɛ tso ni yɔɔ trom lɛ teŋ lɛ nɔ yibii lɛ, ‘Nyɛkayea, ni nyɛkataa he tete, kɛjeee nakai lɛ nyɛbaagboi.’ ”",11.05
output\verses\genesis\genesis_3_verse_4.wav,"Onufu lɛ kɛɛ yoo lɛ akɛ, “Jeee gboimɔ nyɛaagboi;",5.23
output\verses\genesis\genesis_3_verse_5.wav,"shi moŋ le Nyɔŋmɔ le akɛ gbi nɔ ni nyɛaaye eko lɛ, nyɛhiŋmɛi aaagbele, ni nyɛaatsɔ̃mɔ tamɔ lɛ, ni nyɛaale ekpakpa kɛ efɔŋ.”",12.18
output\verses\genesis\genesis_3_verse_6.wav,"No hewɔ lɛ be ni yoo lɛ na akɛ tso lɛ hi hã yeli ni efeɔ hiŋmɛi akɔnɔ ni tso lɛ baa mɔ tsine ni ehãa mɔ leɔ nii lɛ, etse enɔ yibii lɛ eko ni eye ni ehã ewu lɛ ni kɛ lɛ yɔɔ lɛ hu eko ni eye.",19.33
output\verses\genesis\genesis_3_verse_7.wav,Kɛkɛ ni amɛyi enyɔ lɛ fɛɛ amɛhiŋmɛi gbele ni amɛna akɛ amɛnyiɛ yayai. Amɛkpɛ agbãmi baa amɛkɛfee mama amɛkɛha amɛhe.,11.89
output\verses\genesis\genesis_3_verse_8.wav,Amɛnu Nuŋtsɔ Nyɔŋmɔ he ni enyiɛ trom lɛ mli be ni gbɛkɛnaashi kɔɔyɔɔ shwie lɛ; ni Adam kɛ eŋa lɛ tee amɛhe yɛ trom lɛ mli tsei lɛ ateŋ koni Nuŋtsɔ Nyɔŋmɔ akana amɛ.,15.55
output\verses\genesis\genesis_3_verse_9.wav,"Shi Nuŋtsɔ Nyɔŋmɔ tsɛ Adam ni ebi lɛ akɛ, “Nɛgbɛ oyɔɔ?”",5.66
output\verses\genesis\genesis_3_verse_10.wav,"Ni Adam kɛɛ, “Minu ohe yɛ trom lɛ mli, ni mishe gbeyei ejaakɛ minyiɛ yayai ni miyatee mihe.”",10.25
output\verses\genesis\genesis_3_verse_11.wav,"Nyɔŋmɔ bi lɛ akɛ, “Namɔ kɛɛ bo akɛ onyiɛ yayai? Te tso lɛ ni miwo bo he kitã akɛ okaye eyibii lɛ eko lɛ, no oye nɛɛ?”",11.68
output\verses\genesis\genesis_3_verse_12.wav,"Ni Adam kɛɛ akɛ, “Yoo lɛ ni okɛfata mihe lɛ, lɛ ehã mi tso lɛ yibii lɛ eko ni miye.”",8.49
output\verses\genesis\genesis_3_verse_13.wav,"Nuŋtsɔ Nyɔŋmɔ kɛɛ yoo lɛ akɛ, “Mɛni ofee nɛɛ?” Ni yoo lɛ kɛɛ, “Onufu lɛ ni laka mi ni miye.”",9.72
output\verses\genesis\genesis_3_verse_14.wav,"No hewɔ lɛ, Nuŋtsɔ Nyɔŋmɔ kɛɛ onufu lɛ akɛ, “Enɛ ni ofee hewɔ lɛ, alomɔ bo yɛ shĩaŋ kooloi kɛ ŋaŋ kooloi fɛɛ ateŋ. Omusu nɔ ooonyiɛ, ni sũ oooye owala gbii abɔ fɛɛ.",17.05
output\verses\genesis\genesis_3_verse_15.wav,"Mikɛ nyɛɛ aaaŋmɛ bo kɛ yoo lɛ teŋ, kɛ oshwiei kɛ eshwiei ateŋ. Eshwiei aaatswa oyitso nɔ, ni bo hu oshwiei aaakɔ̃ enane tsitsi.”",12.06
output\verses\genesis\genesis_3_verse_16.wav,"Yoo lɛ, lɛ lɛ ekɛɛ lɛ akɛ, “Hã mahã ohe ajara bo, yɛ omusuhiɛmɔ mli. Hejaramɔ mli ooofɔ bii yɛ; owu lɛ sɛɛgbɛ oootao, ni lɛ eeeye onɔ.”",15.21
output\verses\genesis\genesis_3_verse_17.wav,"Ni Adam lɛ, ekɛɛ lɛ akɛ, “Akɛni obo oŋa lɛ toi ni oye tso lɛ ni miwo bo he kitã akɛ okaye eyibii lɛ eko lɛ hewɔ lɛ, alomɔ shikpɔŋ sũ yɛ ohewɔ. Hejaramɔ okɛaana enɔ nii oye owala gbii abɔ fɛɛ.",20.72
output\verses\genesis\genesis_3_verse_18.wav,"Ŋmei kɛ aŋɛ̃ŋlɛ̃ eeewo ehã bo, ni ŋa nɔ baa oooye.",5.55
output\verses\genesis\genesis_3_verse_19.wav,"Ohiɛ latsaa mli oooye nii yɛ kɛyaashi beyinɔ ni oooku osɛɛ kɛaatee shikpɔŋ sũ mli; ejaakɛ emli ajie bo kɛjɛ; sũ ji bo, ni sũ mli nɔŋŋ oooku osɛɛ kɛaatee.”",15.48
output\verses\genesis\genesis_3_verse_20.wav,Adam wo eŋa lɛ gbɛi akɛ Hawa ejaakɛ lɛ ji adesai fɛɛ anyɛ.,6.89
output\verses\genesis\genesis_3_verse_21.wav,"Kɛkɛ ni Nuŋtsɔ Nyɔŋmɔ kɛ kooloo hewolo fee atadei ehã Adam kɛ eŋa lɛ, ni ekɛwo amɛ.",8.84
output\verses\genesis\genesis_3_verse_22.wav,"Ni Nuŋtsɔ Nyɔŋmɔ kɛɛ, “Naa, gbɔmɔ lɛ etsɔ̃ tamɔ wɔteŋ mɔ kome, ni ele ekpakpa kɛ efɔŋ. Agbɛnɛ, eko lɛ eeekpã enine mli ni etse wala tso lɛ yibii lɛ eko ni eye koni ehiɛ akã kɛya naanɔ.”",18.78
output\verses\genesis\genesis_3_verse_23.wav,"Enɛ hewɔ lɛ, Nuŋtsɔ Nyɔŋmɔ shwie lɛ kɛje Eden trom lɛ mli koni eyahu shikpɔŋ, nɔ mli ni ajie lɛ kɛjɛ lɛ.",10.01
output\verses\genesis\genesis_3_verse_24.wav,"Ni Nuŋtsɔ Nyɔŋmɔ shwie Adam, ni ekɛ kerubim kɛ klante ni miifo ehe ni kpɛlɛɔ tamɔ la to Eden trom lɛ hiɛ yɛ bokãgbɛ koni ebu gbɛ ni yaa wala tso lɛ he lɛ he.",15.61
output\verses\genesis\genesis_4_verse_1.wav,"Adam kɛ eŋa Hawa na bɔlɛ. Hawa na musu ni efɔ Kain, ni ekɛɛ akɛ, “Mina binuu yɛ Yehowa yelikɛbuamɔ naa”.",10.33
output\verses\genesis\genesis_4_verse_2.wav,"Kain sɛɛ lɛ efɔ enyɛmi Habel. Habel tsɔ̃ tookwɛlɔ, ni Kain tsɔ̃ okwaafonyo.",7.79
output\verses\genesis\genesis_4_verse_3.wav,Yɛ mli aahu lɛ Kain kɛ eŋmɔshi nii lɛ eko yashã afɔle ehã Yehowa.,6.67
output\verses\genesis\genesis_4_verse_4.wav,Habel hu kɛ etoi lɛ akromɔbii ni ewo fɔ ba ekɛbashã afɔle. Yehowa hiɛ sɔ Habel kɛ efɔle lɛ;,9.62
output\verses\genesis\genesis_4_verse_5.wav,"shi ehiɛ esɔɔɔ Kain kɛ efɔle lɛ. No hewɔ lɛ, Kain mli wo la naakpa, ni etũ ehiɛ.",8.96
output\verses\genesis\genesis_4_verse_6.wav,"Yehowa bi Kain akɛ, “Mɛɛba omli ewo la, ni mɛɛba otũ ohiɛ nɛkɛ?",7.02
output\verses\genesis\genesis_4_verse_7.wav,"Aso kɛji ofee ekpakpa lɛ, ohiɛ baŋ nyam? Kɛji ofeee ekpakpa lɛ, esha bu oshinaa lɛ shi, ni bo osɛɛgbɛ etaoɔ lɛ; shi bo lɛ ye enɔ kunim.”",14.25
output\verses\genesis\genesis_4_verse_8.wav,"Kɛkɛ ni Kain kɛɛ enyɛmi Habel akɛ, “Hã ni wɔya ŋa lɛ nɔ wɔba.” Be ni amɛyɔɔ ŋa lɛ nɔ lɛ, Kain te shi wo enyɛmi Habel ni egbe lɛ.",11.27
output\verses\genesis\genesis_4_verse_9.wav,"Kɛkɛ ni Yehowa bi Kain akɛ, “Nɛgbɛ onyɛmi Habel yɔɔ?” Kain to he akɛ, “Mileee; ani minyɛmi lɛ, enɔkwɛlɔ ji mi lo?”",11.94
output\verses\genesis\genesis_4_verse_10.wav,"Ni Yehowa kɛɛ lɛ akɛ, “Mɛni ofee nɛɛ? Onyɛmi lɛ la miibolɔ kɛmiijɛ shikpɔŋ sũ mli eetsɛ mi.",9.0
output\verses\genesis\genesis_4_verse_11.wav,Agbɛnɛ alomɔ bo yɛ shikpɔŋ ni gbɛ edaaŋ ekɛmi onyɛmi lɛ la lɛ yɛ odɛ̃ŋ lɛ nɔ.,6.8
output\verses\genesis\genesis_4_verse_12.wav,Kɛji ohu shikpɔŋ lɛ ebaŋ nii ehaŋ bo yɛ ehewalɛ naa dɔŋŋ. Kobɔlɔ kɛ shikpalɔ oootsɔ̃ yɛ shikpɔŋ lɛ nɔ!”,9.31
output\verses\genesis\genesis_4_verse_13.wav,"Kain kɛɛ Yehowa akɛ, “Mitɔmɔ lɛ he nyɔmɔwoo lɛ da fe bɔ ni manyɛ matere.",5.92
output\verses\genesis\genesis_4_verse_14.wav,"Naa, oshwie mi ŋmɛnɛ yɛ shikpɔŋ lɛ nɔ, ni matee mihe yɛ ohiɛ. Mitsɔ̃ kobɔlɔ kɛ shikpalɔ yɛ shikpɔŋ lɛ nɔ; ni mɔ fɛɛ mɔ ni aaana mi lɛ, eeegbe mi.”",12.96
output\verses\genesis\genesis_4_verse_15.wav,"Kɛkɛ ni Yehowa kɛɛ Kain akɛ, “Dabida! Kɛji mɔ ko gbe Kain lɛ, aaatɔ Kain he owele shii kpawo.” No hewɔ lɛ, Yehowa to okadi yɛ Kain he koni kɛji mɔ ko na lɛ lɛ, ekagbe lɛ.",16.18
output\verses\genesis\genesis_4_verse_16.wav,"Kɛkɛ ni Kain je Yehowa hiɛ etee, ni eyahi shi yɛ Nod shikpɔŋ lɛ nɔ yɛ Eden bokãgbɛ.",8.01
output\verses\genesis\genesis_4_verse_17.wav,"Kain kɛ eŋa lɛ na bɔlɛ, ni ena musu ni efɔ Henok. Kain to maŋ ni ekɛ ebi Henok gbɛi wo maŋ lɛ.",9.1
output\verses\genesis\genesis_4_verse_18.wav,Henok fɔ Irad; Irad fɔ Mehuyael; Mehuyael fɔ Metushael; ni Metushael fɔ Lamek.,8.68
output\verses\genesis\genesis_4_verse_19.wav,Lamek ŋɔ yei enyɔ: mɔ kome gbɛi ji Ada ni mɔ kome hu gbɛi ji Zila.,6.51
output\verses\genesis\genesis_4_verse_20.wav,"Ada fɔ Yabal, lɛ ji mɛi ni hiɔ bui amli, ni amɛlɛɔ kooloi lɛ atsɛ.",7.58
output\verses\genesis\genesis_4_verse_21.wav,Yabal nyɛmi lɛ gbɛi ji Yubal; saŋkutswalɔi kɛ blɛkpãlɔi fɛɛ atsɛ ji lɛ.,6.76
output\verses\genesis\genesis_4_verse_22.wav,"Zila hu fɔ Tubalkain, ni ji ayawa nibii kɛ dade nibii fɛɛ sɔ̃lɔ lɛ; ni Tubalkain nyɛmi yoo gbɛi ji Naama.",8.88
output\verses\genesis\genesis_4_verse_23.wav,"Lamek kɛɛ eŋãmɛi lɛ akɛ, “Ada kɛ Zila, nyɛboa migbee toi, Migbe oblanyo ko: ejaakɛ epila mi.",10.27
output\verses\genesis\genesis_4_verse_24.wav,"Kɛji aaatɔ Kain he owele shii kpawo lɛ, asonɔkwa Lamek lɛ, aaatɔ ehe owele shii nyɔŋmai kpawo kɛ kpawo!”",9.4
output\verses\genesis\genesis_4_verse_25.wav,"Adam kɛ eŋa Hawa na bɔlɛ ekoŋŋ, ni Hawa fɔ binuu, ni Hawa wo lɛ Set, ejaakɛ ekɛɛ, “Nyɔŋmɔ kɛ bi kroko eto mibi Habel ni Kain gbe lɛ lɛ najiaŋ.”",14.0
output\verses\genesis\genesis_4_verse_26.wav,"Set hu fɔ binuu, ni ewo lɛ gbɛi akɛ Enosh. Nakai be lɛ mli gbɔmɛi bɔi Yehowa gbɛi tsɛmɔ kɛ lɛ jamɔ.",43.26
output\verses\genesis\genesis_5_verse_1.wav,"Adam shwiei lɛ ahe sane nɛ. Gbi ni Nyɔŋmɔ bɔ Adam lɛ, Nyɔŋmɔ su nɔ ebɔ lɛ yɛ.",7.39
output\verses\genesis\genesis_5_verse_2.wav,Ebɔ nuu ni ebɔ yoo ni ejɔɔ amɛ ni ewo amɛ gbɛi akɛ “Gbɔmɔ adesa” gbi nɔ ni ebɔ amɛ lɛ.,8.63
output\verses\genesis\genesis_5_verse_3.wav,"Adam eye afii oha kɛ nyɔŋmai etɛ̃ momo dani efɔ binuu tamɔ lɛ pɛpɛɛpɛ, ni ewo lɛ gbɛi akɛ Set.",9.12
