"word","phoneme","meaning","part_of_speech"
"abɛkulɔ","à b ɛ̀ k ú l ɔ","left-handed person; awkward, clumsy person."
"abɛmbo","à b ɛ́ m̀ b ó","a reddish brown cloth."
"abɛmsu","à b ɛ́ m̀ s ú","a reddish brown colour."
"abɛntia","à b ɛ̀ ǹ t ì á","grave-yard; redoubt; royal mausoleum or tomb."
"abɛntima","à b ɛ̀ ǹ t ḭ̀ m á̰","husk of palm fruit."
"abɛŋ","à b ɛ́ ŋ́","reddish-brown colour."
"abɛŋ","à b ɛ́ ŋ́","reddish-brown dye."
"abɛntima","à b ɛ̀ ǹ t ḭ̀ m á̰","husk of a palm fruit."
"abɛtinta","à b ɛ́ t í m á","a small seedless palm fruit"
"abɛtiŋ","à b ɛ̀ t í ŋ́","a very old, tall palm tree."
"abia","à b ì á","a flowering plant"
"abiblibi","à b í b l̀ ì b ì","small beads made of black seeds, worn on the waist or neck, to protect the wearer against evil wishes."
"abifabiiaŋ","à b ì f á b í à ŋ̀","childhood"
"abifao","à b ì f á ó","infant, baby"
"abisa","à b ì s à","fortune, destiny, lot, situation in life."
"abisibee","à b í s ì b é è","a very carefree person."
"abla","à b l̀ á","falsehood, lying"
"ablaa","à b l̀ à á","European woman."
"ablabutu","á b ĺ á̰ b ù t ù","a large, covered cane basket, used for storage."
"ablami","à b l̀ á ! m í","convulsions"
"ablanaa","á b ĺ á n à á","verandah, gallery"
"ablaŋ","à b ĺ á ŋ̀","seriousness, danger"
"ablatolɔ","à b l̀ á t ó l ɔ","liar"
"ablatoo","à b l̀ á t ò ò","lying"
"ablatsɛ","à b l̀ á tʃ ɛ̀","liar"
"able","à b l̀ é","maize, corn. Zea mays."
"ablebia","à b l̀ è b í á","an animal, the two-spotted palm civet."
"ablekui","à b ĺ é k ù l í","Moray eel, painted eel. Muraena helena, melanotis; Gymnothorax vicinus"
"ablekuma","à b l̀ è k ù m à̰","the minor corn harvest, around October."
"abletsi","à b ĺ é tʃ í","long-legged goat"
"abletso","à b ĺ é tʃ o","a type of centipede"
"ablɛbi","à b l̀ ɛ̀ b ì","undertone, whisper"
"ablɛogwɛ","à b l̀ ɛ̀ ò gʷ ɛ́","white-bellied hedgehog"
"ablo","à b ĺ ó","half-hearted work"
"ablo","à b ĺ ó","hard, harsh treatment; mistreatment"
"ablogwa","à b l̀ ò gʷ á","deck chair, arm chair, straight chair"
"abloŋo","à b l̀ ò ŋ ó","a food, made from ripe plantain, baked."
"abloŋwa","à b l̀ ò ŋʷ á","deck chair, arm chair, straight chair."
"abo","à b ó","asylum, refuge, shelter"
"aboa","à b ó a","a swelling, boil, esp. on the groin."
"abobaa","à b ó b à à","taking asylum, refuge"
"abobalɔ","à b ó b à l ɔ̀","refugee"
"abobonua","à b ò b ò n ù à","a kind of bird, woodpecker"
"abodiamɔ","à b ò d ì à m ɔ́","any round green glass bottle"
"abofu","à b ò f ú","a type of funeral rites"
"aboka","à b ò k á","a kind of ceremonial cloth brought from the east"
"abolo","à b ó l ó","half-hearted work"
"abolo","à b ó l ó","hard, harsh treatment; mistreatment"
"abolobɔlɔ","à b ĺ ó b ɔ̀ l ɔ̀","unwilling worker"
"abolobɔɔ","à b ĺ ó b ɔ̀ ɔ̀","working unwillingly"
"abolobɔɔ","à b ĺ ó b ɔ̀ ɔ̀","sabotage"
"abolofeemɔ","à b ó l ó f è é m ɔ̰","hardness cruelty"
"aboloo","à b ó l ò ó","a food made from miaze"
"abom","à b ò ḿ","simple stew"
"abompe","à b ò m̀ p é","a precocious person, child who does grown-up things"
"abonsam","à b ò ǹ s á ḿ","devil"
"abonsamiiaje","à b ò ǹ s á̰ ḭ́ à d dʒ è","hell"
"abonua","à b ó n ú á","small citrus fruit: lemon, lime. Citrus medica var. acida Brondis."
"abonua","à b ó n ú á","yellow colour"
"aboŋo","à b ò ŋ ó","a barn for storing corn."
"aboŋo","à b ó ŋ ó","soldier"
"abosumaŋkɛtɛo","à b ó s ú m á̰ ŋ́ k ɛ́ ! t ɛ́ ó","chameleon"
"abotia","à b ó t ì á","goat"
"abɔ","à b ɔ̀","quantity, number"
"abɔbɔi","à b ɔ̀ b ɔ̀ í","cooked Bambara beans."
"abɔde abɔde","á b ɔ̀ d è á b ɔ̀ d è","mentally retarded person."
"abɔdemu","à b ɔ̀ d è ḿ","uncircumcised"
"abɔdɔi","à b ɔ̀ d ɔ̀ í","a shrub. Thevetia neriifolia"
"abɔfu","à b ɔ́ f ú","a ceremony, performed on the death of a priest or priestess"
"abɔi","à b ɔ́ ì","domestic service carried out by a male"
"abɔi","à b ɔ́ ì","a parting of the hair"
"abɔifoŋyo","à b ɔ̀ ì f ó ɲ ò","servant, waiter"
"abɔiyeli","à b ɔ́ ì j é l í","domestic service, usually by a male"
"abɔiyelɔ","à b ɔ́ ì j è l ɔ̀","male servant, man or boy who does domestic work for a wage"
"abɔjekutu","à b ɔ̀ dʒ è k ú t ú","wrestling"
"abɔjekutu","à b ɔ̀ dʒ è k ú t ú","whiskers, sideburns"
"abɔkutu","à b ɔ̀ k ù t ú","a kindof fishing net"
"abɔŋkwa","à b ɔ́ ŋ́ k w a","dolphinfish"
"abɔɔ","à b ɔ̀ ɔ́","garden"
"abɔski","à b ɔ̀ s k í","clothes that are too small for the wearer."
"abɔtri","à b ɔ̀ t ŕ í","wrestling, wresling match"
"abɔtrifɔɔ","à b ɔ̀ t ŕ í f ɔ̰̀ ɔ̰̀","wrestling"
"abrade","à b l̀ à d è","dignitary, high-born person, person of character, member of the royal family"
"abrekui","á b ŕ é k ù l í","Gymnothorax vicinus"
"abrotsiri","à b l̀ ò tʃ í r í","Europe, abroad, overseas"
"abua","à b ú a","a swelling, boil, especially on the groin"
"abuasha","à b ú à ʃ à","an ulcerated boil"
"abubaabu","á b ú b à á b u","a brown caterpillar"
"abubumbaba","à b ù b ù m̀ b à b à","a brown caterpillar"
"abui","à b ṵ̀ ḭ́","needle"
"abuomama","à b ú ò m à̰ m á","euphemism"
"abusua","à b ù s ṵ̀ á̰","family; the nuclear family consisting of parents and children"
"abusuafoi","à b ù s ṵ̀ à̰ f ó i","relatives"
"abusua-kakla","à b ù s ṵ̀ á̰ k à k ĺ á","a part of goat entrails, considered a delicacy"
"abusuatoo","à b ù s ṵ̀ á̰ t ò ò","a sheep slaughtered and shared among the family of the deceased, to mark the end of a funeral"
"abusumakutre","à b ù s ù m à k ú ! t ŕ é","chameleon"
"adaade","á d á á d e","a medium-sized tree, bearing a medicinal fruit and much used in hedges"
"adaawe","à d à á ! w é","a type of music, performed by young women"
"adaawe","à d à á w é","a kind of game"
"adabaŋ","à d à b á̰ ŋ́","door bar, bar to keep a door closed"
"adabaoshi","à d à b à ó ʃ i","a ceremony, performed on the death of a woman who has performed 'Brajo'"
"adadekrama","à d à d è k ŕ á̰ m á̰","a kind of ape, the chimpanzee"
"adadekrama","à d à d è k ŕ á̰ m á̰","any wild dangerous animal"
"adadeŋkwa","à d à d é ŋ́ ! kʷ á","somersault"
"adafi","à d à f í","news, information"
"adafitswaa","à d à f í tʃʷ à à","information, news, announcement"
"adafitswalɔ","à d à f í tʃʷ à l ɔ̀","announcer, informant"
"adai","à d à í","elephant grass, buffel grass"
"adama","à d á̰ ! m á̰","a black hair dye"
"adaŋ","à d à ŋ́","a type of music, played by hunters' association"
"adaŋkwa","à d á ŋ́ kʷ á","somersault"
"adaŋkwaa","à d à̰ ŋ̀ kʷ à á","a type of music, played by women"
"adaotso","à d à ò tʃ ò","jawbone"
"adarooma","á d á r ó ò m à̰","grace, assistance, intervention"
"adasaa","à d á̰ s à à","a mat woven from coconut fronds, often used as fencing around a house"
"adasaa","á d à s á̰ a̰","men's shorts or drawers, that are much too big for the wearer"
"adawu","à d à w ú","movement of sea current eastwards"
"adawu","à d à w ú","money paid by family members as contribution towards a funeral"
"adawude","à d à w ù d é","children's jumping game"
"ade","à d é","matter, phenomenon, thing, existence"
"adebaŋka","à d é b à̰ ŋ̀ k á","crowbar"
"adebɔɔ","à d é b ɔ̀ ɔ̀","nature, creation, the natural scheme of things"
"adeda","à d é d a","billhook"
"adeda","à d é d a","prunning shears"
"adedeŋkruma","à d è d è ŋ̀ k ŕ ú m á̰","a kind of tree. Ricinus communis Linn"
"adeka","à d é k à","box, chest"
"adena","à d è n á","mantis or locust shrimp. Squilla empusa"
"adeŋkra","à d è ŋ̀ k ŕ á","a bushy plant. Thespesia populnea"
"adeŋku","à d é ŋ́ k ṵ","a calabash rattle"
"adeŋku","à d é ŋ́ k ṵ","a kind of music, in which the rattle is used"
"adesa","à d è s á̰","story, tale"
"adesa","á d è s à̰","human being"
"adesaa","à d é s à à","enama"
"adesaatɔ","à d é s à à t ɔ","bulb syringe, container for liquid used in enemas"
"adetsaani","à d è tʃ à̰ à̰ n ḭ́","early morning tasks"
"adetsaani","à d è tʃ à̰ à̰ n ḭ́","the custom of visiting the grave a day after burial, by the family members and well-wishers, and subsequently the house of the deceased for meals provided by the visitors"
"adetsaaniyaa","à d è tʃ à̰ à̰ n ḭ́ j à à","performing the 'adetsaani' custom"
"adɛ","à d ɛ́","a good precious bead"
"adɛɛ","à d ɛ̀ ɛ́","small bad things"
"adɛɛ","à d ɛ̀ í","sweet sleep"
"adɛŋ","à d ɛ́ ŋ́","danger"
"adiagba","à d ì à gb à","aggrey bead; also, a kind of beads worn by widows"
"adiagba","à d ì à gb à","gold things, precious things, jewels"
"adiatsiri","à d í á tʃ í r í","store-keeper, steward"
"adibaŋ","à d ì b à̰ ŋ́","food, heavy or staple food"
"adibi","à d ì b í","a fish, the marine spadefish. Chaetodipterus lippei"
"adida","à d í d a","billhook"
"adida","à d í d a","prunning shears"
"adidai","à d ì d à í","sterility in women"
"adidai","à d ì d à í","a ritual performed for a pregnant woman, to prevent miscarriage"
"adii","à d ì í","a fish, the mud-skipper"
"adikpɛ","à d í kp ɛ́","illiberality, meanness, stinginess"
"adikpɛtsɛ","à d í kp ɛ́ tʃ ɛ̀","mean, stingy person"
"adinkra","à d ì ŋ̀ k r̀ á","cloth on which traditional symbols have been printed"
"adobɛ","à d ò b ɛ́","raffia palm. Raphia vinifera"
"adoblaafo","à d ò b l̀ à á f o","a fish, African carp. Labeo senegalensis"
"adoblaako","à d ò b l̀ à á k o","a fish, African carp. Labeo senegalensis"
"adodobɛŋ","à d ó d ó b ɛ́ ŋ́","make a decision as a group"
"adoka","à d ò k á","wine of the raffia palm"
"adopɛ","à d ó p ɛ́","dwarf"
"adowa","à d ò w á","a tiny kind of antelope, the royal antelope. Neotragus pygmaeus"
"adowa","à d ò w á","a kind of music and dance, performed by both men and women"
"adɔ","à d ɔ̀","a forked stick or branch used together with a cutlass when weeding"
"adɔ","à d ɔ̀","a hooked drumstick, made from a forked stick"
"adɔ","à d ɔ̀","a piece of metal used in cleaning calabashes"
"adɔde","à d ɔ̀ d è","a river clam"
"adɔde","à d ɔ́ d é","royalties, rent, return on use, payment in kind of service"
"adɔdɔŋ","à d ɔ̀ d ɔ̀ ŋ̀","fly, housefly"
"adɔdɔŋ","à d ɔ̀ d ɔ́ ŋ́","an edible fruit, hog plum, Ashanti plum. Spondias mombin; Lannea nigritana"
"adɔdɔŋfla","à d ɔ̰̀ d ɔ̰̀ ŋ̀ f l̀ á","piece of broken bottle"
"adɔdɔŋgbane","à d ɔ̀ d ɔ̀ ŋ̀ gb à̰ n è","a large fly, horsefly"
"adɔnsha","à d ɔ̀ ǹ ʃ á","deformed, short armed"
"adra","à d r̀ à̰","a fishing net"
"adrɛs","à d r̀ ɛ́ s ì","address"
"adro","à d r̀ ò","coconut, when green, unripe or soft"
"aduatsɔ","à d ú á tʃ ɔ́","confirmation, emphasis"
"aduawa","à d ù","fruit"
"adufude","à d ù f ù d é","greed, greediness, avarice"
"adukpei","à d ù kp é í","dagger, spear"
"adukwa","à d ú kʷ a","name of variety of cassava"
"aduŋ","à d ú ŋ̀","monkey, especially Red Patas monkey. Erythrocebus patas"
"aduŋkpeekpe","à d ù ŋ̀ kp é é kp è","situation which is difficult to resolve"
"aenyɛnɔŋ","à á ɲ ɛ̀ n ɔ́ ŋ̀","reply to greeting from two or more people who have greeted with either 'aekoo' or 'aanyɛkoo'"
"aeshikaodono","à é é ʃ ì k á ò d ò n ó","a children's game"
"afa","à f á̰","part, half, piece, portion"
"afa","à f á̰","side, further side, aside, away"
"afa","à f á̰","crooked, askew"
"afaafa","à f á̰ à f á̰","sideways"
"afaafai","à f á̰ à f á̰ ì","cross-eyed"
"afabaŋ","à f á b à̰ ń","wall, fence"
"afabaŋ","à f á b à̰ ń","protection, both spiritual and physical"
"afadai","à f á ! d á̰ í","pus, from a sore"
"afadaŋ","à f á ! d á ŋ́","swish building"
"afafaafa","à f á̰ f á̰ á̰ f á̰","one eighth"
"afafaafa","à f á̰ f á̰ á̰ f á̰","sideways"
"afani","à f à n í","an edible river mollusc"
"afaniwaa","à f à n ì w à á","name of a variety of cassava"
"afaseo","à f à s é ó","winged yam, water yam, Dioscorea alata"
"afata","à f á ! t á","discreteness"
"afatsɔmɔ","à f á tʃ ɔ̰́ m ɔ̰","branching off, a turning"
"afei","à f é i","eczema, an itching skin disease"
"afɛ","à f ɛ́","female lover. Usage: colloquial, absolescent"
"afɛlɛ","à f ɛ́ l ɛ̀","louse egg, nit"
"afi","à f í","partridge, bush-fowl"
"afi","à f í","year"
"afianifii","à f ḭ̀ á n ì f í ì","small, pointed-nosed frog, usually found in soil"
"afibɛ","à f í b ɛ","a type of bush-fowl, a small variety of 'afi'"
"afiee","à f í è é","a deity, wife of the deity Sakumɔ"
"afili","à f ĺ ì","a kind of seed"
"afili","à f ĺ ì","beads made of 'afili' seed, alternating brown and white, worn as a necklace"
"afili","à f ĺ ì","an amulet"
"afirimata","à f ĺ í ! í m á t a","a bird, the sparrow"
"afirimata","à f ĺ í ! í m á t a","any fungal skin infection, especially ringworm"
"afiti","à f í t í","a sea bream. Dentex cuninghami, Dentex macrophthalmus"
"afiye","à f í ! j é","a marine fish, spoted grouper"
"afiyeli","á f í j é l í","anniversary"
"afiyeye","à f í j è j é","a deity, wife of the deity Sakumɔ"
"afla","à f l̀ á","slave ship"
"afla","à f l̀ à̰","an edible marine mollusc. Tagellus angulatus"
"aflabi","à f ĺ à b ì","white beads, worn on the neck by children"
"aflamia","à f l̀ à m ì á","a tree"
"aflaŋ","à f l̀ à̰ ŋ̀","a loose knot, slip knot"
"aflaŋaa","à f ĺ à ŋ à í","flag, banner"
"aflaŋaahiɛlɔ","à f ĺ à ŋ à á h ḭ̀ ɛ̰́ l ɔ","flag bearer"
"aflaŋmɛ","á f l̀ à ŋm ɛ́","a thorny shrub. Carissa edulis"
"aflata","à f l̀ á ! t á","a mixture of cooked and raw corn dough, used to prepare kenkey"
"aflɛmflɛm","à f l̀ ɛ̀ m̀ f l̀ ɛ̀ m̀","an insect: fire-fly, glow-worm"
"aflikiti","à f ĺ í k í t í","termite, winged ant"
"aflimi","à f l̀ ì m í","gracefulness"
"afliŋ","à f l̀ ì ŋ̀","white beads worn on the wrists of chiefs and other traditional dignitaries"
"afoforo","à f ò f ò r ò","flower, blossom"
"afoto","à f ó t ó","bellows"
"afɔle","à f ɔ̀ l é","sacrifice, offering"
"afɔleshaa","à f ɔ̀ l é ʃ à̰ à̰","sacrificing, making sacrifice"
"afrane","à f r̀ à ǹ é","imported drink"
"afrikiti","à f ŕ í k í t í","termite, 'winged ant'"
"afrɔ","à f ŕ ɔ̰̀","a trap, a rope snare for birds and small animals"
"afu","à f ṵ́","bulge, hump, hunch"
"afu","à f ṵ́","bubble, lather, foam"
"afua","à f ù á","mist, haze"
"afuabe","à f ù á b è","December"
"afuglɛ","à f ṵ́ g ĺ ɛ̰́","a protruding hump on the back"
"afukpɔŋɔ","à f ṵ́ kp ɔ́ ŋ ɔ́","camel"
"afunyaŋ","à f ṵ̀ ɲ á̰ ŋ́","hairy worm"
"afutsɛ","à f ṵ́ tʃ ɛ̀","hunchback, hunchbacked person"
"afutu","à f ú t ú","movement of sea"
"afutu frans","à f ù t ù f r̀ á ǹ s","combination of incompatible items, things that don't usually care together"
"afutufata","á f ù t ù f á t á","any boat or a small insectivorous bat"
"afutuɔkɔ","à f ú t ú ɔ̀ k ɔ̀ ɔ́","a kind of bird"
"afutuɔkɔ","à f ú t ú ɔ̀ k ɔ̀ ɔ́","an animal, similar to hare"
"aga","à g á̰","cricket, grasshopper, locust"
"aga","à g á̰","a tiny bit of anything"
"agai","à g à̰ ḭ́","arrow"
"agaitsɛlɔ","à g à̰ ḭ́ tʃ ɛ̰́ l ɔ","archer"
"agaitsɛmɔ","à g à̰ ḭ́ tʃ ɛ̰́ m ɔ","shooting"
"agasumui","à g à s ṵ́ m ṵ̀ ḭ́","used in anticipation of a mishap, in hopes of preventing the mishap from occurring"
"agawu","à g à w ú","gap, space between the teeth"
"agawulɔ","à g à w ú l ɔ","a person with widely spaced teeth"
"agawulɔ","à g à w ú l ɔ","glutton, greedy eater, a person who devours food voraciously"
"agawulɔ","à g à w ú l ɔ","an abuser of women"
"agawulɔ","à g à w ú l ɔ","one who bites when fighting"
"agba","à gb à","bridge"
"agba","à gb à","platform, scaffolding"
"agba","à gb à","shed, shelter, market stall"
"agbaa","à gb à̰ ́a̰","a company of assistant priests, particularly Kpele priests"
"agbaa","à gb à","a bird, a kind of dove"
"agbaa","à gb à","akpeteshie, locally made gin"
"agbaafo","à gb à̰ à̰ f ó","assistant priest, specialist in herbal medicine"
"agbaamu","à gb à̰ á̰ m ṵ","edible fruit of cactus"
"agbaanyo","à gb à̰ á̰ ɲ ò","assistant priest, specialist in herbal medicine"
"agbaatsɛ","à gb à̰ á̰ tʃ ɛ̀","assistant priest, specialist in herbal medicine"
"agbaja","à gb à dʒ á","a type of music and dance"
"agbaku","à gb à k ú","hogfish"
"agbaku","à gb à k ú","beehive"
"agbaku","à gb à k ú","honey comb"
"agbalaaanuumotsɛŋ","à gb á l á á n ù ú m ó tʃ ɛ̰̀ ŋ̀","a fish, marine threadfin. Pentanemus quinquarius"
"agbalaniatse","à gb l̀ à n í á tʃ é","a children's game, like tug-of-war"
"agbalatseetse","à gb à l à tʃ é é tʃ é","a children's game, like tug-of-war"
"agbale","à gb á l é","a type of music"
"agbama","à gb á m á̰","details of customary observance, requiring expert knowledge"
"agbamade","à gb á̰ m à d é","marine bluefish, also leerfish. Pomatomus saltatrix; Lichia amia"
"agbami","à gb á̰ m í","fig, the fruit of 'blohuŋ' tso. Ficus umbellatus, Ficus capensis"
"agbamu","à gb à m ú","a large pottery sieve"
"agbaŋbi","à gb á ŋ́ b í","person captured in wars, prisoner of war"
"agbashi","à gb à ʃ í","very old, wrinkled, of a man"
"agbatsu","à gb à tʃ ù","grove"
"agbeligba","à gb è l ì gb à","a variety of cassava"
"agbelima","à gb l̀ à m á̰","cassave dough"
"agbelima","à gb l̀ à m á̰","lime, chalk, white clay"
"agbelinutɔ","à gb è l ì n ú t ɔ́","a variety of cassava"
"agbelitonto","à gb è l ì t ò ǹ t ó","a variety of cassava"
"agbetikɔ","à gb é t í k ɔ́","head of the military captains in Nungua"
"agbɜdɛ","à gb ɛ̀ d ɛ̀","roughness and violence, of beating"
"agbɛdɛgbɛdɛ","à gb ɛ̀ d ɛ̀","roughness and violence, of beating"
"agbɛdɛyii","à gb ɛ̀ d ɛ̀ j ì ì","a rain of blows"
"agbɛnɛ","á gb ɛ̰̀ n ɛ̰̀","furthermore, now"
"agbiɛnaa","à gb ì ɛ̀ n à̰ à̰","the main rainy season, mid-May through July"
"agbiɛnaa","à gb ì ɛ̀ n à̰ à̰","the month of May"
"agbiyaa","à gb í j à á","shuttle for netting"
"agblama","à gb l̀ à̰ m á̰","foam of the far horizon of the sea"
"agblama","à gb l̀ à̰ m á̰","white"
"agblama","à gb l̀ à̰ m á̰","white powder"
"agbli","à gb l̀ ì","a rash of the thigh and groin"
"agblɔke","à gb l̀ ɔ̀ k è","an edible herb, wild lettuce. Launaca taraxacifolia"
"agbo","à gb ó","arch, gate, double doors"
"agbo","à gb ò","big, large"
"agbo","à gb ò","important"
"agbojee","à gb ò dʒ è è","personality"
"agbojee","à gb ò dʒ è è","dignity"
"agboku","à gb ò k ú","tartar, deposit on the teeth"
"agboku","à gb ò k ú","bad breath"
"agboku","à gb ò k ú","mouth"
"agbonaa","à gb ó n à̰ à̰","gate, especially of a compound house"
"agbonaa","à gb ó n à̰ à̰","frontage, front side outside, of a house"
"agboŋtso","à gb ó ŋ̀ tʃ ò","boundary line between houses (not between plots of land)"
"agboonu","à gb ò ó ! n ú","bag, sack"
"agboshimɔ","à gb ó ʃ í m ɔ̰","a custom, 'knocking' to begin marriage negotiations. A formal presentation of drinks"
"agbɔ","à gb ɔ̀","the season immediately following Homowo"
"agbɔ","à gb ɔ̀","the month of September"
"agbɔhɔ","à gb ɔ̀ h ɔ́","a fresh-water fish"
"agbɔmi","à gb ɔ̰́ m ḭ́","a plant"
"agbugbaŋte","à gb ú gb à̰ ŋ̀ t é","head man among stool elders"
"agbugbonte","à gb ù gb ò ǹ t é","a ceremony, performed at La during Homowo"
"agbuŋtso","à gb ù ǹ tʃ ò","a kind of smoke fish"
"agbuŋtso","à gb ù ǹ tʃ ò","a very small fishing canoe"
"agbuteŋ","à gb ù t é ŋ̀","penny, pesewa"
"agbuyaa","à gb ú j à á","shuttle"
"agɛgɛnu","à g ɛ̀ g ɛ̀ n ṵ̀","a beverage made of kenkey mashed with sugar and water, 'iced kenkey'"
"agɛglɛmi","à g ɛ̀ g l̀ ̀e m í","a fruit"
"agɛi","à g ɛ́ ì","witness box"
"agidi","à g ì d í","a smooth soft food made of husked and ground corn, suitable for sick people"
"agla","à g ĺ à","throwing in order to hit something"
"agle","á g l̀ è","wheel bearings"
"aglɛmɛti","à g l̀ ɛ̀ m ɛ̀ t ì","hoof, of a sheep or goat"
"ago","à g ò","any rich cloth: silk, satin, velvet, corduroy"
"agologo","̀a g ò l̀ ò g ò","cucumber"
"agoo","à g ò ò","announcement of arrival and request to enter"
"agooji","à g ó ò dʒ í","a fast-living woman, good-time girl"
"agowa","à g ó w a","guava. Pridium guajava"
"agɔ","à g ɔ̀","shot, as in football, taken with the big toe or tip of boot"
"agɔgo","à g ɔ̀ g ò","cucumber"
"agɔgɔmi","à g ɔ̰̀ g ɔ̰̀ m í","an edible see clam"
"agɔku","à g ɔ̀ k ú","a type of bread"
"agɔlu","à g ɔ̀ l ú","an aimless shot, as in football, made in anger or to escape a difficult situation"
"agugu","à g ṵ̀ g ṵ́","pith of a plant"
"agugu","à g ṵ̀ g ṵ́","bone marrow"
"agugu","à g ṵ̀ g ṵ́","essential point, salient point"
"agushi","à g ú ʃ í","the edible seed of a climbing melon plant"
"aguyaa","à g ú j à á","shuttle for netting"
